Individual	Location	Pasture	Parasitism	pop_para	pop_para_past
L3	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L4	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L5	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L6	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L7	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L8	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L9	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L10	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L11	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L12	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L13	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L14	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L15	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L16	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L17	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L18	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L19	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L20	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L21	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L22	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L23	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L24	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L25	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L26	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L27	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L28	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L29	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L30	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L31	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L32	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L33	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L34	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L35	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L36	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L37	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L38	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L39	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L40	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L41	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L42	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L43	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L44	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L45	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L46	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L47	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L48	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L49	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
